,Actor Name,Profit,Movies
10,Dwayne Johnson,"$10,905,760,359","Furious 7,The Fate of the Furious,Jumanji: Welcome to the Jungle,Jumanji: The Next Level,Fast & Furious 6,Fast & Furious Presents: Hobbs & Shaw,Moana,Fast Five,San Andreas,The Mummy Returns,Rampage,G.I. Joe: Retaliation,Journey 2: The Mysterious Island,Skyscraper,Get Smart,Jungle Cruise,Central Intelligence,DC League of Super-Pets,The Scorpion King,Baywatch"
11,Tom Holland,"$10,778,539,968","Avengers: Endgame,Avengers: Infinity War,Spider-Man: No Way Home,Captain America: Civil War,Spider-Man: Far from Home,Spider-Man: Homecoming,Uncharted,Dolittle,The Impossible"
12,John Ratzenberger,"$10,754,801,967","Incredibles 2,Toy Story 4,Toy Story 3,Finding Dory,Inside Out,Up,The Incredibles,Ratatouille,Monsters,Brave,WALL·E,Toy Story 2,Cars,Toy Story,Cars 3,A Bug's Life,The Good Dinosaur"
13,Ian McKellen,"$10,602,714,386","Beauty and the Beast,The Lord of the Rings: The Return of the King,The Hobbit: An Unexpected Journey,The Hobbit: The Battle of the Five Armies,The Hobbit: The Desolation of Smaug,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Fellowship of the Ring,The Da Vinci Code,X-Men: Days of Future Past,X-Men: The Last Stand,X2: X-Men United,The Golden Compass,X-Men,Flushed Away,Hero"
14,Don Cheadle,"$10,573,042,480","Avengers: Endgame,Avengers: Infinity War,Avengers: Age of Ultron,Iron Man 3,Captain America: Civil War,Iron Man 2,Ocean's Eleven,Ocean's Twelve,Ocean's Thirteen,Traffic"
15,Paul Bettany,"$10,507,989,120","Avengers: Infinity War,The Avengers,Avengers: Age of Ultron,Iron Man 3,Captain America: Civil War,The Da Vinci Code,Iron Man 2,Iron Man,Solo: A Star Wars Story,A Beautiful Mind,The Tourist,Master and Commander: The Far Side of the World"
16,Tom Hanks,"$9,945,637,013","Toy Story 4,Toy Story 3,The Da Vinci Code,Forrest Gump,The Simpsons Movie,Toy Story 2,Angels & Demons,Saving Private Ryan,Cast Away,Toy Story,Apollo 13,Catch Me If You Can,The Polar Express,The Green Mile,Elvis,You've Got Mail,Sully,Sleepless in Seattle,Inferno,The Terminal,Captain Phillips,Philadelphia,Road to Perdition,The Post"
17,Jon Favreau,"$9,933,954,062","Spider-Man: No Way Home,Iron Man 3,Spider-Man: Far from Home,The Jungle Book,Spider-Man: Homecoming,Iron Man 2,Iron Man,Solo: A Star Wars Story,The Wolf of Wall Street,Deep Impact,Batman Forever,G-Force,Something's Gotta Give,The Break-Up,Open Season,Daredevil"
18,Alan Rickman,"$9,931,024,518","Harry Potter and the Deathly Hallows: Part 2,Alice in Wonderland,Harry Potter and the Sorcerer's Stone,Harry Potter and the Deathly Hallows: Part 1,Harry Potter and the Order of the Phoenix,Harry Potter and the Half-Blood Prince,Harry Potter and the Goblet of Fire,Harry Potter and the Chamber of Secrets,Harry Potter and the Prisoner of Azkaban,Robin Hood: Prince of Thieves,Alice Through the Looking Glass,Love Actually,The Butler"
19,Tom Cruise,"$9,879,563,406","Top Gun: Maverick,Mission: Impossible - Fallout,Mission: Impossible - Ghost Protocol,Mission: Impossible - Rogue Nation,War of the Worlds,Mission: Impossible II,Mission: Impossible,The Last Samurai,Mission: Impossible III,Edge of Tomorrow,Minority Report,Top Gun,Rain Man,Oblivion,Jerry Maguire,The Firm,A Few Good Men,Interview with the Vampire: The Vampire Chronicles,Collateral,Jack Reacher,Vanilla Sky,Valkyrie,Tropic Thunder"
20,Anthony Mackie,"$9,848,709,651","Avengers: Endgame,Avengers: Infinity War,Avengers: Age of Ultron,Captain America: Civil War,Captain America: The Winter Soldier,Ant-Man,Real Steel,Lincoln,8 Mile,Million Dollar Baby,Eagle Eye"
21,Mark Ruffalo,"$9,823,137,233","Avengers: Endgame,Avengers: Infinity War,The Avengers,Avengers: Age of Ultron,Thor: Ragnarok,Now You See Me,Now You See Me 2,Shutter Island,Collateral"
22,Johnny Depp,"$9,807,600,060","Pirates of the Caribbean: Dead Man's Chest,Pirates of the Caribbean: On Stranger Tides,Alice in Wonderland,Pirates of the Caribbean: At World's End,Fantastic Beasts and Where to Find Them,Pirates of the Caribbean: Dead Men Tell No Tales,Fantastic Beasts: The Crimes of Grindelwald,Pirates of the Caribbean: The Curse of the Black Pearl,Charlie and the Chocolate Factory,Murder on the Orient Express,Alice Through the Looking Glass,The Tourist,The Lone Ranger,Rango,Dark Shadows,Public Enemies,Into the Woods,Sleepy Hollow"
23,Stellan Skarsgård,"$9,707,163,552","The Avengers,Avengers: Age of Ultron,Pirates of the Caribbean: Dead Man's Chest,Pirates of the Caribbean: At World's End,Thor: Love and Thunder,Thor: The Dark World,Mamma Mia!,Cinderella,Angels & Demons,Thor,Dune,The Girl with the Dragon Tattoo,Good Will Hunting,King Arthur,The Hunt for Red October"
24,Emma Watson,"$9,642,102,112","Harry Potter and the Deathly Hallows: Part 2,Beauty and the Beast,Harry Potter and the Sorcerer's Stone,Harry Potter and the Deathly Hallows: Part 1,Harry Potter and the Order of the Phoenix,Harry Potter and the Half-Blood Prince,Harry Potter and the Goblet of Fire,Harry Potter and the Chamber of Secrets,Harry Potter and the Prisoner of Azkaban,Noah,Little Women"
25,Warwick Davis,"$9,524,154,642","Harry Potter and the Deathly Hallows: Part 2,Star Wars: Episode I - The Phantom Menace,Harry Potter and the Sorcerer's Stone,Harry Potter and the Deathly Hallows: Part 1,Harry Potter and the Order of the Phoenix,Harry Potter and the Half-Blood Prince,Harry Potter and the Goblet of Fire,Harry Potter and the Chamber of Secrets,Maleficent: Mistress of Evil,The Chronicles of Narnia: Prince Caspian,Solo: A Star Wars Story,Jack the Giant Slayer"
26,Gary Oldman,"$9,493,661,517","Harry Potter and the Deathly Hallows: Part 2,The Dark Knight Rises,The Dark Knight,Harry Potter and the Order of the Phoenix,Harry Potter and the Goblet of Fire,Harry Potter and the Prisoner of Azkaban,Dawn of the Planet of the Apes,Kung Fu Panda 2,Batman Begins,Hannibal,A Christmas Carol,Air Force One,The Fifth Element,Dracula,JFK"
27,Cate Blanchett,"$9,473,761,455","The Lord of the Rings: The Return of the King,The Hobbit: An Unexpected Journey,The Hobbit: The Battle of the Five Armies,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Fellowship of the Ring,Thor: Ragnarok,Indiana Jones and the Kingdom of the Crystal Skull,How to Train Your Dragon 2,Cinderella,How to Train Your Dragon: The Hidden World,The Curious Case of Benjamin Button,Robin Hood,Ocean's Eight,The Aviator"
28,Ralph Fiennes,"$9,456,582,949","Harry Potter and the Deathly Hallows: Part 2,Skyfall,Harry Potter and the Deathly Hallows: Part 1,Harry Potter and the Order of the Phoenix,Harry Potter and the Goblet of Fire,Spectre,No Time to Die,Clash of the Titans,Schindler's List,The Lego Batman Movie,Wrath of the Titans,Dolittle,The English Patient,The Prince of Egypt,Red Dragon,Wallace & Gromit: The Curse of the Were-Rabbit"
29,Jeremy Renner,"$9,414,674,026","Avengers: Endgame,The Avengers,Avengers: Age of Ultron,Captain America: Civil War,Mission: Impossible - Ghost Protocol,Mission: Impossible - Rogue Nation,The Bourne Legacy,American Hustle,Hansel & Gretel: Witch Hunters,S.W.A.T.,Arrival"
30,Robbie Coltrane,"$9,345,891,913","Harry Potter and the Deathly Hallows: Part 2,Harry Potter and the Sorcerer's Stone,Harry Potter and the Deathly Hallows: Part 1,Harry Potter and the Order of the Phoenix,Harry Potter and the Half-Blood Prince,Harry Potter and the Goblet of Fire,Harry Potter and the Chamber of Secrets,Harry Potter and the Prisoner of Azkaban,Brave,The World Is Not Enough,GoldenEye,Van Helsing"
31,Anthony Daniels,"$9,282,768,419","Star Wars: Episode VII - The Force Awakens,Star Wars: Episode VIII - The Last Jedi,Star Wars: Episode IX - The Rise of Skywalker,Star Wars: Episode I - The Phantom Menace,Star Wars: Episode III - Revenge of the Sith,Star Wars: Episode IV - A New Hope,Star Wars: Episode II - Attack of the Clones,Star Wars: Episode V - The Empire Strikes Back,Star Wars: Episode VI - Return of the Jedi,The Lego Movie"
32,Vin Diesel,"$9,162,164,637","Furious 7,The Fate of the Furious,Guardians of the Galaxy Vol. 2,Fast & Furious 6,Guardians of the Galaxy,Thor: Love and Thunder,F9: The Fast Saga,Fast Five,Saving Private Ryan,Fast & Furious,xXx: Return of Xander Cage,xXx,The Fast and the Furious,The Pacifier"
33,Helena Bonham Carter,"$9,139,931,630","Harry Potter and the Deathly Hallows: Part 2,Alice in Wonderland,Harry Potter and the Deathly Hallows: Part 1,Harry Potter and the Order of the Phoenix,Harry Potter and the Half-Blood Prince,Cinderella,Charlie and the Chocolate Factory,Les Misérables,The King's Speech,Terminator Salvation,Planet of the Apes,Alice Through the Looking Glass,Ocean's Eight,The Lone Ranger,Dark Shadows,Wallace & Gromit: The Curse of the Were-Rabbit"
34,Orlando Bloom,"$9,105,510,702","The Lord of the Rings: The Return of the King,Pirates of the Caribbean: Dead Man's Chest,The Hobbit: The Battle of the Five Armies,Pirates of the Caribbean: At World's End,The Hobbit: The Desolation of Smaug,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Fellowship of the Ring,Pirates of the Caribbean: Dead Men Tell No Tales,Pirates of the Caribbean: The Curse of the Black Pearl,Troy,Kingdom of Heaven"
35,Karen Gillan,"$9,005,796,201","Avengers: Endgame,Avengers: Infinity War,Jumanji: Welcome to the Jungle,Guardians of the Galaxy Vol. 2,Jumanji: The Next Level,Guardians of the Galaxy,Thor: Love and Thunder"
36,Christopher Lee,"$9,003,870,520","The Lord of the Rings: The Return of the King,Alice in Wonderland,The Hobbit: An Unexpected Journey,The Hobbit: The Battle of the Five Armies,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Fellowship of the Ring,Star Wars: Episode III - Revenge of the Sith,Star Wars: Episode II - Attack of the Clones,Charlie and the Chocolate Factory,The Golden Compass,Dark Shadows,Sleepy Hollow,Hugo"
37,Elizabeth Olsen,"$8,882,759,991","Avengers: Endgame,Avengers: Infinity War,Avengers: Age of Ultron,Captain America: Civil War,Doctor Strange in the Multiverse of Madness,Godzilla"
38,Willem Dafoe,"$8,872,713,136","Spider-Man: No Way Home,Aquaman,Finding Nemo,Spider-Man 3,Spider-Man,Spider-Man 2,Murder on the Orient Express,The Great Wall,The Fault in Our Stars,John Carter,Mr. Bean's Holiday,The English Patient,Clear and Present Danger,The Aviator,Inside Man"
39,Michelle Rodriguez,"$8,855,437,022","Avatar,Furious 7,The Fate of the Furious,Fast & Furious 6,F9: The Fast Saga,Fast & Furious,Turbo,Resident Evil: Retribution,Battle Los Angeles,S.W.A.T.,The Fast and the Furious,Smurfs: The Lost Village"
40,J.K. Simmons,"$8,528,583,815","Spider-Man: No Way Home,Zootopia,Spider-Man 3,Spider-Man,Spider-Man 2,Justice League,Kung Fu Panda 3,La La Land,Terminator Genisys,Megamind,True Grit,Juno,Ghostbusters: Afterlife"
41,Simon Pegg,"$8,501,646,928","Star Wars: Episode VII - The Force Awakens,Ice Age: Dawn of the Dinosaurs,Mission: Impossible - Fallout,Mission: Impossible - Ghost Protocol,Mission: Impossible - Rogue Nation,Ready Player One,Star Trek Into Darkness,The Chronicles of Narnia: The Voyage of the Dawn Treader,Ice Age: Collision Course,Mission: Impossible III,Star Trek,The Adventures of Tintin,Star Trek Beyond"
42,Harrison Ford,"$8,341,015,887","Star Wars: Episode VII - The Force Awakens,Indiana Jones and the Kingdom of the Crystal Skull,Star Wars: Episode IV - A New Hope,Star Wars: Episode V - The Empire Strikes Back,Star Wars: Episode VI - Return of the Jedi,Indiana Jones and the Last Crusade,The Secret Life of Pets 2,Indiana Jones and the Raiders of the Lost Ark,The Fugitive,Indiana Jones and the Temple of Doom,Air Force One,What Lies Beneath,Blade Runner 2049,Presumed Innocent,Clear and Present Danger,The Expendables 3,Patriot Games"
43,Daniel Radcliffe,"$8,318,466,269","Harry Potter and the Deathly Hallows: Part 2,Harry Potter and the Sorcerer's Stone,Harry Potter and the Deathly Hallows: Part 1,Harry Potter and the Order of the Phoenix,Harry Potter and the Half-Blood Prince,Harry Potter and the Goblet of Fire,Harry Potter and the Chamber of Secrets,Harry Potter and the Prisoner of Azkaban,Now You See Me 2,The Lost City"
44,Tom Felton,"$8,274,525,507","Harry Potter and the Deathly Hallows: Part 2,Harry Potter and the Sorcerer's Stone,Harry Potter and the Deathly Hallows: Part 1,Harry Potter and the Order of the Phoenix,Harry Potter and the Half-Blood Prince,Harry Potter and the Goblet of Fire,Harry Potter and the Chamber of Secrets,Harry Potter and the Prisoner of Azkaban,Rise of the Planet of the Apes"
45,Stanley Tucci,"$8,179,639,845","Beauty and the Beast,Transformers: Age of Extinction,The Hunger Games: Catching Fire,The Hunger Games: Mockingjay - Part 1,The Hunger Games,The Hunger Games: Mockingjay - Part 2,Transformers: The Last Knight,Captain America: The First Avenger,The Devil Wears Prada,Mr. Peabody & Sherman,Robots,The Terminal,Percy Jackson: Sea of Monsters,Jack the Giant Slayer,The Pelican Brief,Road to Perdition"
46,Frank Welker,"$8,135,106,242","Frozen,The Lion King,Madagascar 3: Europe's Most Wanted,Transformers: The Last Knight,The Smurfs,The Grinch,Aladdin,Beauty and the Beast,Pocahontas,Who Framed Roger Rabbit,The Hunchback of Notre Dame,101 Dalmatians,Mulan,The Little Mermaid,Cats & Dogs,Smurfs: The Lost Village,Stargate,101"
47,Sebastian Stan,"$8,044,208,719","Avengers: Endgame,Avengers: Infinity War,Captain America: Civil War,Captain America: The Winter Soldier,The Martian,Captain America: The First Avenger,Black Swan"
48,Will Smith,"$7,958,064,787","Aladdin,Independence Day,Suicide Squad,Hancock,Men in Black 3,Men in Black,I Am Legend,Men in Black II,Bad Boys for Life,Shark Tale,Hitch,The Pursuit of Happyness,Bad Boys II,Enemy of the State,After Earth,Wild Wild West"
49,Maggie Smith,"$7,915,770,228","Harry Potter and the Deathly Hallows: Part 2,Harry Potter and the Sorcerer's Stone,Harry Potter and the Order of the Phoenix,Harry Potter and the Half-Blood Prince,Harry Potter and the Goblet of Fire,Harry Potter and the Chamber of Secrets,Harry Potter and the Prisoner of Azkaban,Hook,Sister Act,Gnomeo & Juliet,Downton Abbey,The First Wives Club"
50,Tyrese Gibson,"$7,798,552,874","Furious 7,The Fate of the Furious,Transformers: Dark of the Moon,Transformers: Revenge of the Fallen,Fast & Furious 6,F9: The Fast Saga,Transformers,Fast Five,2 Fast 2 Furious"
51,Hugo Weaving,"$7,797,678,604","The Lord of the Rings: The Return of the King,The Hobbit: An Unexpected Journey,The Hobbit: The Battle of the Five Armies,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Fellowship of the Ring,The Matrix Reloaded,The Matrix,The Matrix Revolutions,Happy Feet,Captain America: The First Avenger,Babe,Hacksaw Ridge"
52,Rupert Grint,"$7,792,724,634","Harry Potter and the Deathly Hallows: Part 2,Harry Potter and the Sorcerer's Stone,Harry Potter and the Deathly Hallows: Part 1,Harry Potter and the Order of the Phoenix,Harry Potter and the Half-Blood Prince,Harry Potter and the Goblet of Fire,Harry Potter and the Chamber of Secrets,Harry Potter and the Prisoner of Azkaban"
53,Chris Pratt,"$7,683,479,914","Jurassic World,Jurassic World: Fallen Kingdom,Jurassic World Dominion,Guardians of the Galaxy Vol. 2,Guardians of the Galaxy,Thor: Love and Thunder,The Lego Movie,Wanted,Passengers,The Lego Movie 2: The Second Part"
54,Luke Evans,"$7,672,076,333","Furious 7,Beauty and the Beast,The Fate of the Furious,The Hobbit: The Battle of the Five Armies,The Hobbit: The Desolation of Smaug,Fast & Furious 6,Clash of the Titans,10,Immortals,Dracula Untold"
55,Liam Neeson,"$7,600,528,274","The Dark Knight Rises,Star Wars: Episode I - The Phantom Menace,Clash of the Titans,The Lego Movie,The Chronicles of Narnia: The Voyage of the Dawn Treader,Taken 2,Batman Begins,Taken 3,Schindler's List,Battleship,Wrath of the Titans,Men in Black: International,Love Actually,Taken,Non-Stop,Kingdom of Heaven,Ted 2,Gangs of New York,Daddy's Home 2,The Haunting,The A-Team"
56,Bill Hader,"$7,546,775,753","Finding Dory,Ice Age: Dawn of the Dinosaurs,Inside Out,Monsters University,Men in Black 3,Ralph Breaks the Internet,It Chapter Two,Night at the Museum: Battle of the Smithsonian,The Angry Birds Movie,Turbo,Cloudy with a Chance of Meatballs 2,Cloudy with a Chance of Meatballs,Lightyear,Knocked Up,Tropic Thunder,The BFG"
57,Morgan Freeman,"$7,476,485,270","The Dark Knight Rises,The Dark Knight,Bruce Almighty,The Lego Movie,Lucy,Robin Hood: Prince of Thieves,Batman Begins,Now You See Me,Deep Impact,Wanted,Now You See Me 2,Se7en,Oblivion,Million Dollar Baby,Ted 2,London Has Fallen,RED,The Sum of All Fears,Outbreak"
58,Lupita Nyong'o,"$7,456,294,535","Star Wars: Episode VII - The Force Awakens,Black Panther,Star Wars: Episode VIII - The Last Jedi,Star Wars: Episode IX - The Rise of Skywalker,The Jungle Book,Us,Non-Stop,12 Years a Slave"
59,Michael Gambon,"$7,445,227,060","Harry Potter and the Deathly Hallows: Part 2,Harry Potter and the Deathly Hallows: Part 1,Harry Potter and the Order of the Phoenix,Harry Potter and the Half-Blood Prince,Harry Potter and the Goblet of Fire,Harry Potter and the Prisoner of Azkaban,The King's Speech,Kingsman: The Golden Circle,Paddington,Paddington 2,Sleepy Hollow"
60,Alfred Molina,"$7,408,189,058","Spider-Man: No Way Home,Frozen II,Spider-Man 2,The Da Vinci Code,Monsters University,Ralph Breaks the Internet,Indiana Jones and the Raiders of the Lost Ark,Rango,The Sorcerer's Apprentice,DC League of Super-Pets,Maverick"
61,Chadwick Boseman,"$7,346,796,551","Avengers: Endgame,Avengers: Infinity War,Black Panther,Captain America: Civil War"
62,David Thewlis,"$7,176,473,908","Harry Potter and the Deathly Hallows: Part 2,Harry Potter and the Deathly Hallows: Part 1,Harry Potter and the Order of the Phoenix,Harry Potter and the Half-Blood Prince,Wonder Woman,Harry Potter and the Prisoner of Azkaban,Justice League,Wonder,Kingdom of Heaven,War Horse"
63,Woody Harrelson,"$7,154,984,058","The Hunger Games: Catching Fire,Venom,2012,The Hunger Games: Mockingjay - Part 1,The Hunger Games,The Hunger Games: Mockingjay - Part 2,Venom: Let There Be Carnage,War for the Planet of the Apes,Solo: A Star Wars Story,Now You See Me,Now You See Me 2,Indecent Proposal,Anger Management"
64,Michael Caine,"$7,079,171,586","The Dark Knight Rises,The Dark Knight,Inception,Interstellar,Cars 2,Kingsman: The Secret Service,Batman Begins,Tenet,Now You See Me,Journey 2: The Mysterious Island,Now You See Me 2,Austin Powers in Goldmember,Miss Congeniality,Gnomeo & Juliet,007"
65,Elizabeth Banks,"$6,852,792,018","Spider-Man 3,The Hunger Games: Catching Fire,Spider-Man,Spider-Man 2,The Hunger Games: Mockingjay - Part 1,The Hunger Games,The Hunger Games: Mockingjay - Part 2,The Lego Movie,Catch Me If You Can,The Lego Movie 2: The Second Part,Pitch Perfect 3,The 40-Year-Old Virgin"
66,David Bradley,"$6,815,654,251","Harry Potter and the Deathly Hallows: Part 2,Harry Potter and the Sorcerer's Stone,Harry Potter and the Order of the Phoenix,Harry Potter and the Half-Blood Prince,Harry Potter and the Goblet of Fire,Harry Potter and the Chamber of Secrets,Harry Potter and the Prisoner of Azkaban"
67,Timothy Spall,"$6,793,454,269","Alice in Wonderland,Harry Potter and the Deathly Hallows: Part 1,Harry Potter and the Half-Blood Prince,Harry Potter and the Goblet of Fire,Harry Potter and the Prisoner of Azkaban,The Last Samurai,The King's Speech,Enchanted,Alice Through the Looking Glass,Chicken Run,A Series of Unfortunate Events,Vanilla Sky"
68,Steve Coogan,"$6,733,800,655","Minions,Despicable Me 3,Despicable Me 2,Minions: The Rise of Gru,The Secret Life of Pets,Night at the Museum,Night at the Museum: Battle of the Smithsonian,Night at the Museum: Secret of the Tomb,Percy Jackson & the Olympians: The Lightning Thief,Tropic Thunder"
69,Mark Hamill,"$6,679,600,606","Star Wars: Episode VII - The Force Awakens,Star Wars: Episode VIII - The Last Jedi,Star Wars: Episode IX - The Rise of Skywalker,Star Wars: Episode IV - A New Hope,Star Wars: Episode V - The Empire Strikes Back,Star Wars: Episode VI - Return of the Jedi,Kingsman: The Secret Service"
70,Paul Rudd,"$6,650,451,544","Avengers: Endgame,Captain America: Civil War,Ant-Man and the Wasp,Night at the Museum,Ant-Man,Monsters vs. Aliens,Knocked Up,Ghostbusters: Afterlife,The 40-Year-Old Virgin"
71,Leonardo DiCaprio,"$6,646,608,350","Titanic,Inception,The Revenant,Django Unchained,The Wolf of Wall Street,Once Upon a Time in Hollywood,The Great Gatsby,Catch Me If You Can,Shutter Island,The Departed,The Aviator,Gangs of New York,The Man in the Iron Mask"
72,Kristen Wiig,"$6,632,615,920","Despicable Me 3,Despicable Me 2,Ice Age: Dawn of the Dinosaurs,The Martian,How to Train Your Dragon 2,Despicable Me,How to Train Your Dragon: The Hidden World,How to Train Your Dragon,Bridesmaids,Ghostbusters,Knocked Up,The Secret Life of Walter Mitty"
73,Benedict Wong,"$6,631,906,728","Avengers: Infinity War,Spider-Man: No Way Home,Doctor Strange in the Multiverse of Madness,Doctor Strange,The Martian,Prometheus"
74,Jason Isaacs,"$6,578,970,033","Harry Potter and the Deathly Hallows: Part 2,Harry Potter and the Deathly Hallows: Part 1,Harry Potter and the Order of the Phoenix,Harry Potter and the Goblet of Fire,Harry Potter and the Chamber of Secrets,Cars 2,Armageddon,The Patriot,Fury"
75,Jeff Goldblum,"$6,517,089,081","Jurassic World: Fallen Kingdom,Jurassic Park,Jurassic World Dominion,Thor: Ragnarok,Independence Day,The Lost World: Jurassic Park,Independence Day: Resurgence,The Prince of Egypt,Cats & Dogs"
76,Jason Statham,"$6,508,878,663","Furious 7,The Fate of the Furious,Fast & Furious Presents: Hobbs & Shaw,The Meg,Prince of Persia: The Sands of Time,The Expendables 2,The Expendables,We're the Millers,Knight and Day,Spy,The Expendables 3,Gnomeo & Juliet,Knowing,The Monkey King Havoc in Heavens Palace,028,037,039,046,054,057,059,063,065,067,074,076,078,082,084,086,088,093,094,099"
77,Geoffrey Rush,"$6,492,196,341","Minions,Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean: At World's End,Finding Nemo,Pirates of the Caribbean: Dead Men Tell No Tales,Pirates of the Caribbean: The Curse of the Black Pearl,The King's Speech,Shakespeare in Love,Green Lantern"
78,Bonnie Hunt,"$6,485,767,507","Toy Story 4,Toy Story 3,Zootopia,Monsters University,Monsters,Cars,Cars 3,A Bug's Life,Rain Man,The Green Mile,Jerry Maguire,Jumanji,Cheaper by the Dozen"
79,Julie Andrews,"$6,482,042,382","Aquaman,Despicable Me 3,Shrek 2,Minions: The Rise of Gru,Shrek the Third,Shrek Forever After,Despicable Me,Enchanted"
80,Gal Gadot,"$6,480,478,964","Furious 7,Batman v Superman: Dawn of Justice,Wonder Woman,Fast & Furious 6,Justice League,Fast Five,Ralph Breaks the Internet,Fast & Furious,Wonder"
81,Oscar Isaac,"$6,395,507,136","Star Wars: Episode VII - The Force Awakens,Star Wars: Episode VIII - The Last Jedi,Star Wars: Episode IX - The Rise of Skywalker,X-Men: Apocalypse,Dune,Spider-Man: Into the Spider-Verse,Robin Hood,The Bourne Legacy"
82,Chiwetel Ejiofor,"$6,392,589,844","The Lion King,Doctor Strange in the Multiverse of Madness,2012,Doctor Strange,The Martian,Maleficent: Mistress of Evil,Salt,American Gangster,Love Actually,12 Years a Slave,Inside Man"
83,Bradley Cooper,"$6,371,061,579","Guardians of the Galaxy Vol. 2,Guardians of the Galaxy,Thor: Love and Thunder,The Hangover Part II,American Sniper,The Hangover,A Star Is Born,The Hangover Part III,Wedding Crashers,American Hustle,Silver Linings Playbook,Yes Man,Valentine's Day,He's Just Not That Into You,The A-Team"
84,Bryce Dallas Howard,"$6,356,605,053","Jurassic World,Jurassic World: Fallen Kingdom,Jurassic World Dominion,Spider-Man 3,The Twilight Saga: Eclipse,Terminator Salvation,The Help,Rocketman"
85,Richard Griffiths,"$6,269,581,867","Pirates of the Caribbean: On Stranger Tides,Harry Potter and the Sorcerer's Stone,Harry Potter and the Deathly Hallows: Part 1,Harry Potter and the Order of the Phoenix,Harry Potter and the Chamber of Secrets,Harry Potter and the Prisoner of Azkaban,Bedtime Stories,Sleepy Hollow,Hugo"
